视频标题,弹幕数,网址,bvid,页数
韩总理称可喝日本排海核污染水,1732,http://www.bilibili.com/video/av272251487,BV17c411g7Q1,4
“日本专家组曾提出五种方案 但政府最终选择了最省钱的办法”,7494,http://www.bilibili.com/video/av229946595,BV19h411N7rS,4
外交部回应日强推核污染水排海：将采取必要措施,2036,http://www.bilibili.com/video/av317624024,BV1uP411W7HB,4
日本东电承认储罐中超6成核污染水放射性物质超标,1271,http://www.bilibili.com/video/av532830460,BV16u411N7gL,4
日本政府宣布将启动核污染水排海 汪文斌：中方将采取一切必要措施维护食品安全和公众健康,2145,http://www.bilibili.com/video/av317577715,BV11P411p7tC,4
外交部：核污染水排海不是个别国家“开绿灯”就可畅行无阻,8,http://www.bilibili.com/video/av447801521,BV15j41127kY,4
日本福岛核污染水排海计划工程正式启动,31,http://www.bilibili.com/video/av301741077,BV1mF411c7rh,4
外交部：中方再次敦促日方停止强推核污染水排海计划,8,http://www.bilibili.com/video/av870519458,BV1mV4y1a71c,4
日媒：日本计划今年4次排放核污染水,86,http://www.bilibili.com/video/av317627191,BV13P411W7wn,4
警惕！日方加速推进核污染水排海计划,201,http://www.bilibili.com/video/av399509925,BV1ao4y1E7sE,4
数百名韩国民众抗议日本核污染水排海直呼：我们不知道会发生什么,25,http://www.bilibili.com/video/av617610650,BV1b84y1Z72U,4
日本福岛民众忍无可忍：“政府说了谎 我们希望中止排海”,718,http://www.bilibili.com/video/av275206774,BV1FF411y7PV,5
韩国高铁配置福岛核污染水排海宣传手册引愤怒，日产水产品引排斥,26,http://www.bilibili.com/video/av915654169,BV1hu4y1y7GC,5
日本官员受访时未将“核污染水”称为“处理水” 结果……,14,http://www.bilibili.com/video/av532892406,BV1fu411N7v8,5
“不要以为排放开始了，大家就会接受现实” 日本各界人士在首相官邸前集会反对排海,50,http://www.bilibili.com/video/av617708552,BV1Ah4y1T7au,5
如果日方想要发挥负责任国家作用，就应当立即停止核污染水排海,132,http://www.bilibili.com/video/av232886177,BV1B8411z7eG,5
韩国石斑鱼销路因日本核污染水排海受阻 已有超100万条鱼死亡,184,http://www.bilibili.com/video/av233114079,BV1M8411B7cE,5
日本已排放超1000吨核污染水,653,http://www.bilibili.com/video/av787788258,BV1214y1C7NJ,5
中方敦促日方倾听国际社会呼声，停止强推核污染水排海计划,2981,http://www.bilibili.com/video/av403631706,BV17V411K75D,5
日本称核污染水排海受美国等肯定 外交部发言人：别自欺欺人,69,http://www.bilibili.com/video/av745268427,BV1fr4y1R7G1,5
外交部：如果核污染水安全，就没有必要排海；如果不安全，就更不应该排海。,5,http://www.bilibili.com/video/av275130357,BV11F411C7WZ,5
日本宣布8月24日起将开始核污染水排海,426,http://www.bilibili.com/video/av532555446,BV1Xu41177Pe,5
韩国总统要和反对日本核污染水排海的人作斗争 韩国总理要为日本核污染水更名,207,http://www.bilibili.com/video/av490473403,BV13N411v7am,5
外交部回应日强推核污染水排海：将采取必要措施,2036,http://www.bilibili.com/video/av317624024,BV1uP411W7HB,5
办公室老外听到日本排放核污染水之后,613,http://www.bilibili.com/video/av490202040,BV1cN411z74t,5
多国民众抗议日本核污染水排海，网友：世界可以没有日本，但不能没有大海,0,http://www.bilibili.com/video/av320140548,BV1mw411D7zA,5
专家：日本核污染水排海至少要持续30年 最大的危险不只是氚,97,http://www.bilibili.com/video/av232507437,BV16841197wp,5
总台记者进入日本福岛第一核电站实地探访,1354,http://www.bilibili.com/video/av405258032,BV16G411Z7H2,5
外交部：谁觉得核污染水可以喝就供给谁,297,http://www.bilibili.com/video/av828343930,BV1Pg4y1A7TA,5
日本东电称核污染水排海后的检测结果没问题 外交部回应,559,http://www.bilibili.com/video/av232740390,BV138411X7wR,5
总台记者实地探访日本核污染水排出设备，福岛核电站内部画面曝光,68,http://www.bilibili.com/video/av362755468,BV1K94y167j6,5
外交部：中方再次敦促日方停止强推核污染水排海计划,8,http://www.bilibili.com/video/av870519458,BV1mV4y1a71c,5
岸田文雄：日本福岛核污染水最早将于8月24日排海,301,http://www.bilibili.com/video/av405122818,BV1fG411o7gf,5
外交部：建议日本把核污染水供给某些人饮用或游泳,22,http://www.bilibili.com/video/av658273106,BV14h4y1Z7xo,5
中国代表再严批日本核污染水排海计划：将太平洋当作“下水道”,61,http://www.bilibili.com/video/av615770921,BV1qh4y1E7Zv,5
日本福岛核污染水排海计划工程正式启动,31,http://www.bilibili.com/video/av301741077,BV1mF411c7rh,5
日本呼吁中方取消对日食品进口限制 外交部：有关措施有理有据,1125,http://www.bilibili.com/video/av446220419,BV1Lj411R7Sn,5
反对核污染水排海 16名韩国大学生在日本驻韩大使馆前被捕,637,http://www.bilibili.com/video/av232717145,BV1A8411X7tS,5
日本补贴涉渔产业 外交部：说明核污染水排海是真有问题、大有问题,11,http://www.bilibili.com/video/av828434046,BV1Ru4y1U79e,5
